index,orig,reasonIndex,reason,resultIndex,result,category1,category2
26,#1 では，線虫というのは，いったいどんな生物なのでしょうか。 #2 線虫の種類はたいへん多いのです。 #3 たとえば，寄生虫の回虫が線虫の仲間です。 #4 また，松枯れ病の原因である松食い虫に寄生するマツノザイセンチュウも仲間です。 #5 寄生虫ですから， #6 医学の1分野として古くから興味がもたれて研究されてきました。 #7 また，受精卵の発生が早く再現性が高いこと，細胞数が少ないことなどから，発生観察の材料として19世紀にはすでに研究されています。 #8 たとえば，ウマカイチュウの卵の研究から，生殖系の細胞と体細胞系の細胞との区別が発生初期に起きることや，体細胞系の細胞で染色体削減が見られることなど，発生学の古典的な研究が行なわれました。 #9 しかしその後，実験発生学は両生類を使って発展し， #10 遺伝学はショウジョウバエを使って発展したため， #11 生物学の材料として線虫は忘れられた存在になってしまいました。 #12 移植実験や再生実験ができなかったことや，その当時，線虫は寄生性のものが使われていたため， #13 遺伝解析には向かなかったからです。,#11,生物学の材料として線虫は忘れられた存在になってしまいました。,#13,遺伝解析には向かなかったからです。,explicit,原因・理由  
26,#1 では，線虫というのは，いったいどんな生物なのでしょうか。 #2 線虫の種類はたいへん多いのです。 #3 たとえば，寄生虫の回虫が線虫の仲間です。 #4 また，松枯れ病の原因である松食い虫に寄生するマツノザイセンチュウも仲間です。 #5 寄生虫ですから， #6 医学の1分野として古くから興味がもたれて研究されてきました。 #7 また，受精卵の発生が早く再現性が高いこと，細胞数が少ないことなどから，発生観察の材料として19世紀にはすでに研究されています。 #8 たとえば，ウマカイチュウの卵の研究から，生殖系の細胞と体細胞系の細胞との区別が発生初期に起きることや，体細胞系の細胞で染色体削減が見られることなど，発生学の古典的な研究が行なわれました。 #9 しかしその後，実験発生学は両生類を使って発展し， #10 遺伝学はショウジョウバエを使って発展したため， #11 生物学の材料として線虫は忘れられた存在になってしまいました。 #12 移植実験や再生実験ができなかったことや，その当時，線虫は寄生性のものが使われていたため， #13 遺伝解析には向かなかったからです。,#12,移植実験や再生実験ができなかったことや，その当時，線虫は寄生性のものが使われていたため，,#13,遺伝解析には向かなかったからです。,explicit,原因・理由  
30,#1 問題のC. elegans は，長さ約1mmの糸ミミズのような線虫です。 #2 正式には Caenorhabditis elegans（シノラブダイティス・エレガンスと読みます）といいます。 #3 土の中で細菌を主食とする非寄生性の線虫で，世界中の土の中で見つかります。 #4 もともとは1900年にアルジェリアで採集されましたが， #5 1946年にイギリスのブルストルで同じ種が採集されたため， #6 ブリストル株N2と名づけられました。 #7 先駆者たちによって実験室での飼育条件や生活史が明らかにされ， #8 さらに生殖系の発生や配偶子形成の研究が進められました。 #9 土の中ですから， #10 生育温度は13〜25℃です。 #11 10℃ぐらいまでは生きていますが， #12 4℃では死んでしまいます。 #13 また逆に，25℃を超すと #14 生きが悪くなり， #15 死んでしまいます（この点が日本で扱う場合の問題点です。）,#5,1946年にイギリスのブルストルで同じ種が採集されたため，,#6,ブリストル株N2と名づけられました。,explicit,原因・理由  
30,#1 問題のC. elegans は，長さ約1mmの糸ミミズのような線虫です。 #2 正式には Caenorhabditis elegans（シノラブダイティス・エレガンスと読みます）といいます。 #3 土の中で細菌を主食とする非寄生性の線虫で，世界中の土の中で見つかります。 #4 もともとは1900年にアルジェリアで採集されましたが， #5 1946年にイギリスのブルストルで同じ種が採集されたため， #6 ブリストル株N2と名づけられました。 #7 先駆者たちによって実験室での飼育条件や生活史が明らかにされ， #8 さらに生殖系の発生や配偶子形成の研究が進められました。 #9 土の中ですから， #10 生育温度は13〜25℃です。 #11 10℃ぐらいまでは生きていますが， #12 4℃では死んでしまいます。 #13 また逆に，25℃を超すと #14 生きが悪くなり， #15 死んでしまいます（この点が日本で扱う場合の問題点です。）,#9,土の中ですから，,#10,生育温度は13〜25℃です。,explicit,原因・理由  
30,#1 問題のC. elegans は，長さ約1mmの糸ミミズのような線虫です。 #2 正式には Caenorhabditis elegans（シノラブダイティス・エレガンスと読みます）といいます。 #3 土の中で細菌を主食とする非寄生性の線虫で，世界中の土の中で見つかります。 #4 もともとは1900年にアルジェリアで採集されましたが， #5 1946年にイギリスのブルストルで同じ種が採集されたため， #6 ブリストル株N2と名づけられました。 #7 先駆者たちによって実験室での飼育条件や生活史が明らかにされ， #8 さらに生殖系の発生や配偶子形成の研究が進められました。 #9 土の中ですから， #10 生育温度は13〜25℃です。 #11 10℃ぐらいまでは生きていますが， #12 4℃では死んでしまいます。 #13 また逆に，25℃を超すと #14 生きが悪くなり， #15 死んでしまいます（この点が日本で扱う場合の問題点です。）,#13,また逆に，25℃を超すと,#14,生きが悪くなり，,explicit,原因・理由  
30,#1 問題のC. elegans は，長さ約1mmの糸ミミズのような線虫です。 #2 正式には Caenorhabditis elegans（シノラブダイティス・エレガンスと読みます）といいます。 #3 土の中で細菌を主食とする非寄生性の線虫で，世界中の土の中で見つかります。 #4 もともとは1900年にアルジェリアで採集されましたが， #5 1946年にイギリスのブルストルで同じ種が採集されたため， #6 ブリストル株N2と名づけられました。 #7 先駆者たちによって実験室での飼育条件や生活史が明らかにされ， #8 さらに生殖系の発生や配偶子形成の研究が進められました。 #9 土の中ですから， #10 生育温度は13〜25℃です。 #11 10℃ぐらいまでは生きていますが， #12 4℃では死んでしまいます。 #13 また逆に，25℃を超すと #14 生きが悪くなり， #15 死んでしまいます（この点が日本で扱う場合の問題点です。）,#13,また逆に，25℃を超すと,#15,死んでしまいます,explicit,原因・理由  
32,#1 おもしろいことに，C. elegans はふつう雌雄同体です。 #2 前後2対の生殖腺では，まず精子がつくられたあと， #3 卵子形成に切り替わります。 #4 成熟した卵子が貯精嚢を通過するときに受精が起こります。 #5 自家受精なのです。 #6 受精卵は子宮の中で途中まで発生し， #7 適宜，からだの中央にある陰門から産み出されます。 #8 受精卵は固い殻をかぶっていますので， #9 親の体外で発生を続け， #10 14時間ぐらいで殻を破って #11 幼虫が孵化します。 #12 その後，4回の脱皮をくり返し， #13 受精から数えて #14 3日半で成虫になるのです。 #15 卵子は栄養があるかぎり #16 次々につくられますが， #17 精子は最初につくられただけ（約300個）です。 #18 これを使い切ると， #19 もう子はできません。 #20 しかし，うまくできたもので， #21 ごく希ですが #22 （0.1％くらいの頻度で）雄もいるのです。 #23 雄は，雌雄同体よりもすこし小柄で #24 長細く，尾の部分が交尾用に特別な構造になっています。 #25 当然のことながら精子のみをつくって， #26 尾の部分で雌雄同体の陰門を探り #27 当てて #28 精子を注入するのです。 #29 このとき， #30 不思議なことですが， #31 雄由来の精子が優先的に受精に使用されます。 #32 理由はわかっていません。 #33 このように，自家受精と他家受精の両方があることは，繁殖と進化の両方に都合のよい戦略だと思われますが， #34 4章で述べられるように2倍体の生物の遺伝解析にとても有利なのです。,#8,受精卵は固い殻をかぶっていますので，,#9,親の体外で発生を続け，,explicit,原因・理由  
32,#1 おもしろいことに，C. elegans はふつう雌雄同体です。 #2 前後2対の生殖腺では，まず精子がつくられたあと， #3 卵子形成に切り替わります。 #4 成熟した卵子が貯精嚢を通過するときに受精が起こります。 #5 自家受精なのです。 #6 受精卵は子宮の中で途中まで発生し， #7 適宜，からだの中央にある陰門から産み出されます。 #8 受精卵は固い殻をかぶっていますので， #9 親の体外で発生を続け， #10 14時間ぐらいで殻を破って #11 幼虫が孵化します。 #12 その後，4回の脱皮をくり返し， #13 受精から数えて #14 3日半で成虫になるのです。 #15 卵子は栄養があるかぎり #16 次々につくられますが， #17 精子は最初につくられただけ（約300個）です。 #18 これを使い切ると， #19 もう子はできません。 #20 しかし，うまくできたもので， #21 ごく希ですが #22 （0.1％くらいの頻度で）雄もいるのです。 #23 雄は，雌雄同体よりもすこし小柄で #24 長細く，尾の部分が交尾用に特別な構造になっています。 #25 当然のことながら精子のみをつくって， #26 尾の部分で雌雄同体の陰門を探り #27 当てて #28 精子を注入するのです。 #29 このとき， #30 不思議なことですが， #31 雄由来の精子が優先的に受精に使用されます。 #32 理由はわかっていません。 #33 このように，自家受精と他家受精の両方があることは，繁殖と進化の両方に都合のよい戦略だと思われますが， #34 4章で述べられるように2倍体の生物の遺伝解析にとても有利なのです。,#8,受精卵は固い殻をかぶっていますので，,#11,幼虫が孵化します。,explicit,原因・理由  
34,#1 C. elegans はとても小さな動物ですが， #2 筋肉，消化管，神経系，上皮など，動物として基本的な体制をもっています（2章参照）。 #3 当時わかっていたことでは，体細胞の数はせいぜい1000ぐらいで， #4 そのうち200程度が神経細胞であるということでした。 #5 こんな少ない神経細胞で，じつに多彩な処理をするのです。 #6 まず，筋肉を駆使して #7 S字型に動きます（それも前進と後退の両方ができるのです）。 #8 また，先端にある感覚器で走性を感知します。 #9 陰門の筋肉を調整して産卵します。 #10 咽頭筋を調整して #11 口から飲み込んだ細菌を咀嚼します。 #12 肛門筋と腸を連動させて脱糞します。 #13 体にふれると #14 その反対側に逃げます。 #15 餌がなくなると #16 環境が悪くなったことを感知して #17 耐性幼虫（一種の冬眠）になります。 #18 そして，雄の交尾行動など，さまざまです。 #19 そして，エレガンスという名前が示す通り， #20 美しい透明体ですから， #21 これらの器官組織の発生のようすを生きたまま観察することができるのです。,#20,美しい透明体ですから，,#21,これらの器官組織の発生のようすを生きたまま観察することができるのです。,explicit,原因・理由  
34,#1 C. elegans はとても小さな動物ですが， #2 筋肉，消化管，神経系，上皮など，動物として基本的な体制をもっています（2章参照）。 #3 当時わかっていたことでは，体細胞の数はせいぜい1000ぐらいで， #4 そのうち200程度が神経細胞であるということでした。 #5 こんな少ない神経細胞で，じつに多彩な処理をするのです。 #6 まず，筋肉を駆使して #7 S字型に動きます（それも前進と後退の両方ができるのです）。 #8 また，先端にある感覚器で走性を感知します。 #9 陰門の筋肉を調整して産卵します。 #10 咽頭筋を調整して #11 口から飲み込んだ細菌を咀嚼します。 #12 肛門筋と腸を連動させて脱糞します。 #13 体にふれると #14 その反対側に逃げます。 #15 餌がなくなると #16 環境が悪くなったことを感知して #17 耐性幼虫（一種の冬眠）になります。 #18 そして，雄の交尾行動など，さまざまです。 #19 そして，エレガンスという名前が示す通り， #20 美しい透明体ですから， #21 これらの器官組織の発生のようすを生きたまま観察することができるのです。,#3,当時わかっていたことでは，体細胞の数はせいぜい1000ぐらいで，,#4,そのうち200程度が神経細胞であるということでした。,implicit,原因・理由  
34,#1 C. elegans はとても小さな動物ですが， #2 筋肉，消化管，神経系，上皮など，動物として基本的な体制をもっています（2章参照）。 #3 当時わかっていたことでは，体細胞の数はせいぜい1000ぐらいで， #4 そのうち200程度が神経細胞であるということでした。 #5 こんな少ない神経細胞で，じつに多彩な処理をするのです。 #6 まず，筋肉を駆使して #7 S字型に動きます（それも前進と後退の両方ができるのです）。 #8 また，先端にある感覚器で走性を感知します。 #9 陰門の筋肉を調整して産卵します。 #10 咽頭筋を調整して #11 口から飲み込んだ細菌を咀嚼します。 #12 肛門筋と腸を連動させて脱糞します。 #13 体にふれると #14 その反対側に逃げます。 #15 餌がなくなると #16 環境が悪くなったことを感知して #17 耐性幼虫（一種の冬眠）になります。 #18 そして，雄の交尾行動など，さまざまです。 #19 そして，エレガンスという名前が示す通り， #20 美しい透明体ですから， #21 これらの器官組織の発生のようすを生きたまま観察することができるのです。,#6,まず，筋肉を駆使して,#7,S字型に動きます。,implicit,目的  
34,#1 C. elegans はとても小さな動物ですが， #2 筋肉，消化管，神経系，上皮など，動物として基本的な体制をもっています（2章参照）。 #3 当時わかっていたことでは，体細胞の数はせいぜい1000ぐらいで， #4 そのうち200程度が神経細胞であるということでした。 #5 こんな少ない神経細胞で，じつに多彩な処理をするのです。 #6 まず，筋肉を駆使して #7 S字型に動きます（それも前進と後退の両方ができるのです）。 #8 また，先端にある感覚器で走性を感知します。 #9 陰門の筋肉を調整して産卵します。 #10 咽頭筋を調整して #11 口から飲み込んだ細菌を咀嚼します。 #12 肛門筋と腸を連動させて脱糞します。 #13 体にふれると #14 その反対側に逃げます。 #15 餌がなくなると #16 環境が悪くなったことを感知して #17 耐性幼虫（一種の冬眠）になります。 #18 そして，雄の交尾行動など，さまざまです。 #19 そして，エレガンスという名前が示す通り， #20 美しい透明体ですから， #21 これらの器官組織の発生のようすを生きたまま観察することができるのです。,#16,環境が悪くなったことを感知して,#17,耐性幼虫になります。,implicit,原因・理由  
36,#1 ブレンナーはこのような点に着目して， #2 発生・分化，神経系，行動など高次の生物現象を遺伝学の手法で解き明かすことを考え， #3 C. elegans を使いはじめたのです。 #4 まずは，突然変異体です。 #5 1967年10月のことです。 #6 彼は C. elegans を強力な突然変異誘起剤のEMSの液にしばらく浸したのち， #7 培養を続けました。 #8 1週間後，孫の世代に，ふつうのスラリとした細長い虫のなかに，ずんぐりむっくりの虫を見つけました。 #9 このずんぐりむっくりの虫をとりだして培養すると， #10 その子はすべてずんぐりむっくりで， #11 いわゆる突然変異体だったのです。 #12 突然変異体には名前をつけますが， #13 EMSで得られた最初の虫ですから #14 “E1”と名づけられました。 #15 その後，7年間にわたって #16 ブレンナーはいろいろな突然変異体の分離を続け， #17 遺伝学の常法にのっとって #18 突然変異のマッピングを行ないました。 #19 その結果が，冒頭に述べた1974年の論文として発表されたのです。,#13,EMSで得られた最初の虫ですから,#14,“E1”と名づけられました。,explicit,原因・理由  
41,#1 とっかかりは，腹部神経索の神経細胞の形成でした。 #2 若い幼虫では腹側神経細胞が15個あるのが，その後57個になります。 #3 このことを見つけた彼は，どうやって #4 15個の細胞が57個になるのか， #5 その追跡を決心したのです。 #6 方法はひとつ「見ること」です。 #7 このための道具がノマルスキー微分干渉顕微鏡でした。 #8 この装置は，核や細胞質の屈折率のわずかなちがいを強調して， #9 像にコントラストをつけることができます。 #10 これを使うと， #11 生きたまま核の動きを見ることができますし，また #12 焦点面をずらすことで，上から下へ光学的な切片を得ることができるのです。 #13 生きたままの断層写真です。 #14 最初，サルストンは15個の細胞は分裂しないのに， #15 新たに10個の細胞が現れてきたことにおどろきました。 #16 じつは，すこし下の，焦点をはずれた細胞が分裂して出現したのです。 #17 こうやって， #18 その週末には42個の神経細胞の系譜を明らかにしてしまいました。 #19 分裂パターンと神経細胞の運命との関連も示唆されました。 #20 その後，アメリカからやってきたポスドクのボブ・ホーヴィツ（Bob Horvitz，現マサチューセッツ工科大学）も加わり， #21 幼虫から体細胞数959個の成虫にいたる後 #22 胚発生の細胞系譜が1976年に発表されました。,#14,最初，サルストンは15個の細胞は分裂しないのに，,#15,新たに10個の細胞が現れてきたことにおどろきました。,explicit,目的  
41,#1 とっかかりは，腹部神経索の神経細胞の形成でした。 #2 若い幼虫では腹側神経細胞が15個あるのが，その後57個になります。 #3 このことを見つけた彼は，どうやって #4 15個の細胞が57個になるのか， #5 その追跡を決心したのです。 #6 方法はひとつ「見ること」です。 #7 このための道具がノマルスキー微分干渉顕微鏡でした。 #8 この装置は，核や細胞質の屈折率のわずかなちがいを強調して， #9 像にコントラストをつけることができます。 #10 これを使うと， #11 生きたまま核の動きを見ることができますし，また #12 焦点面をずらすことで，上から下へ光学的な切片を得ることができるのです。 #13 生きたままの断層写真です。 #14 最初，サルストンは15個の細胞は分裂しないのに， #15 新たに10個の細胞が現れてきたことにおどろきました。 #16 じつは，すこし下の，焦点をはずれた細胞が分裂して出現したのです。 #17 こうやって， #18 その週末には42個の神経細胞の系譜を明らかにしてしまいました。 #19 分裂パターンと神経細胞の運命との関連も示唆されました。 #20 その後，アメリカからやってきたポスドクのボブ・ホーヴィツ（Bob Horvitz，現マサチューセッツ工科大学）も加わり， #21 幼虫から体細胞数959個の成虫にいたる後 #22 胚発生の細胞系譜が1976年に発表されました。,#4,15個の細胞が57個になるのか，,#5,その追跡を決心したのです。,implicit,原因・理由  
41,#1 とっかかりは，腹部神経索の神経細胞の形成でした。 #2 若い幼虫では腹側神経細胞が15個あるのが，その後57個になります。 #3 このことを見つけた彼は，どうやって #4 15個の細胞が57個になるのか， #5 その追跡を決心したのです。 #6 方法はひとつ「見ること」です。 #7 このための道具がノマルスキー微分干渉顕微鏡でした。 #8 この装置は，核や細胞質の屈折率のわずかなちがいを強調して， #9 像にコントラストをつけることができます。 #10 これを使うと， #11 生きたまま核の動きを見ることができますし，また #12 焦点面をずらすことで，上から下へ光学的な切片を得ることができるのです。 #13 生きたままの断層写真です。 #14 最初，サルストンは15個の細胞は分裂しないのに， #15 新たに10個の細胞が現れてきたことにおどろきました。 #16 じつは，すこし下の，焦点をはずれた細胞が分裂して出現したのです。 #17 こうやって， #18 その週末には42個の神経細胞の系譜を明らかにしてしまいました。 #19 分裂パターンと神経細胞の運命との関連も示唆されました。 #20 その後，アメリカからやってきたポスドクのボブ・ホーヴィツ（Bob Horvitz，現マサチューセッツ工科大学）も加わり， #21 幼虫から体細胞数959個の成虫にいたる後 #22 胚発生の細胞系譜が1976年に発表されました。,#8,この装置は，核や細胞質の屈折率のわずかなちがいを強調して，,#9,像にコントラストをつけることができます。,implicit,原因・理由  
